"treatment","size_mb","import_path"
"reference-only","4,23","BZH_RESS\Montage\bzh_dancers\30-09\2985af1e-6bab-46c7-ac39-895b5a47f89e.mp4"
"reference-only","2,55","BZH_RESS\Montage\bzh_dancers\30-09\495b6bed-5968-4242-a509-07efb1f2d9bf.mp4"
"reference-only","3,74","BZH_RESS\Montage\bzh_dancers\30-09\6ec5c3fe-3744-414a-886d-6db1293cd84c.mp4"
"reference-only","4,19","BZH_RESS\Montage\bzh_dancers\30-09\7b5863c5-e354-40ca-b90a-57ea1d719b96.mp4"
"reference-only","4,18","BZH_RESS\Montage\bzh_dancers\30-09\a6fcd75e-6e29-4eea-9e91-ff4e123cbab9.mp4"
"reference-only","10,84","BZH_RESS\Montage\bzh_dancers\30-09\a98fd99c-83f9-4605-bd35-a6984b3a0a96.mp4"
"reference-only","10,8","BZH_RESS\Montage\bzh_dancers\30-09\cae8a49a-7efb-46e6-bbf1-a3adb9adfd69.mp4"
"reference-only","6,88","BZH_RESS\Montage\bzh_dancers\30-09\cfa28935-94ff-433c-acaa-8c5a3282f2a5.mp4"
"reference-only","2,81","BZH_RESS\Montage\bzh_dancers\30-09\dabe0097-d475-4c0a-85ae-5842819c724d.mp4"
"reference-only","4,32","BZH_RESS\Montage\bzh_dancers\30-09\e4510c47-497a-45b3-b2b0-ae78490d3c09.mp4"
"reference-only","4,23","BZH_RESS\Montage\bzh_dancers\30-09\e81ac905-69b2-4250-a659-208731b84800.mp4"
"reference-only","4,2","BZH_RESS\Montage\bzh_dancers\30-09\edc46636-1a79-41ae-ab49-bc8b02fd0bef.mp4"
"reference-only","5,49","BZH_RESS\Montage\bzh_dancers\30-09\edd9f734-9fc7-4d2c-b19f-a97c6893a7e8.mp4"
"reference-only","5,48","BZH_RESS\Montage\bzh_dancers\30-09\f96465af-69da-468f-8ed7-f17a76a487dc.mp4"
"reference-only","7,22","BZH_RESS\Montage\bzh_dancers\3ade79a7-74c5-4218-a485-958757293391.mp4"
"reference-only","4,23","BZH_RESS\Montage\bzh_dancers\old_viggles_edit\old_bowser_singer\bf788223-6cd1-48fe-8070-31cf2b5c90da.mp4"
"reference-only","5,48","BZH_RESS\Montage\bzh_dancers\old_viggles_edit\old_trio_and_duet_videos\029fd4c4-1f54-4d86-a881-4d0e151888d5.mp4"
"reference-only","6,12","BZH_RESS\Montage\bzh_dancers\old_viggles_edit\old_trio_and_duet_videos\093bfae9-d09b-4139-a593-248b283b4ebb.mp4"
"reference-only","4,37","BZH_RESS\Montage\bzh_dancers\old_viggles_edit\old_trio_and_duet_videos\2c1a6f44-81c7-4cd3-8c63-84ec74e3b3f8.mp4"
"reference-only","3,9","BZH_RESS\Montage\bzh_dancers\old_viggles_edit\old_trio_and_duet_videos\2d40d64b-49e5-431f-8720-b718dbf04775.mp4"
"reference-only","10,82","BZH_RESS\Montage\bzh_dancers\old_viggles_edit\old_trio_and_duet_videos\4cacf34c-4f7f-4c6e-986e-ec018c3671bc.mp4"
"reference-only","4,39","BZH_RESS\Montage\bzh_dancers\old_viggles_edit\old_trio_and_duet_videos\593a5d9d-2c19-4a31-b7bd-79fc2553a5e2.mp4"
"reference-only","6,13","BZH_RESS\Montage\bzh_dancers\old_viggles_edit\old_trio_and_duet_videos\66ba0a13-2378-4a6c-a9d9-1f4fb476a61c.mp4"
"reference-only","4,34","BZH_RESS\Montage\bzh_dancers\old_viggles_edit\old_trio_and_duet_videos\691e1b42-e1e2-4aeb-9596-2c38c23ed8a7.mp4"
"reference-only","3,92","BZH_RESS\Montage\bzh_dancers\old_viggles_edit\old_trio_and_duet_videos\6cf91072-be72-4462-813e-5d89012740cf.mp4"
"reference-only","4,19","BZH_RESS\Montage\bzh_dancers\old_viggles_edit\old_trio_and_duet_videos\7ab8e4d7-205f-4a2f-a585-43d06f0557b8.mp4"
"reference-only","5,49","BZH_RESS\Montage\bzh_dancers\old_viggles_edit\old_trio_and_duet_videos\97e47b0f-411c-47f0-9052-aee0414b8b5a.mp4"
"reference-only","6,37","BZH_RESS\Montage\bzh_dancers\old_viggles_edit\old_trio_and_duet_videos\e2505a45-230d-4f32-9fb6-f59119ad30b5.mp4"
"reference-only","2,24","BZH_RESS\Montage\bzh_dancers\old_viggles_edit\old_waluigi_singer\1ac5f0c8-322a-4caf-b71a-d9d48ac27a4e.mp4"
"reference-only","3,06","BZH_RESS\Montage\bzh_dancers\singer_bowser\88e8d3ea-c58f-4fa2-a607-94fcfe80c4be.mp4"
"reference-only","4,38","BZH_RESS\Montage\bzh_dancers\singer_lethal\139d3b7c-f931-4997-985b-5bf5fb649044.mp4"
"reference-only","4,25","BZH_RESS\Montage\bzh_dancers\singer_lethal\74e547b2-ec73-4180-8466-f02e04e6bf63.mp4"
"reference-only","3,06","BZH_RESS\Montage\bzh_dancers\singer_waluigi\8fce71a0-e377-42fc-9b8b-b0568358e5f6.mp4"
"reference-only","7,32","BZH_RESS\Montage\bzh_dancers\singer_waluigi\936973e1-fbd1-4aeb-8d76-72c3bc73c692.mp4"
"reference-only","8,47","BZH_RESS\Montage\bzh_dancers\singer_waluigi\bdc2f432-8493-44b3-aab9-e286b0b6179f.mp4"
"reference-only","5,9","BZH_RESS\Montage\bzh_dancers\singer_wario\53ea6f9b-18d9-43eb-99f8-ea8faf8732a5.mp4"
"reference-only","2,52","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_hader\0e60ef89-6982-4056-96ac-a4d3fe20dd3c.mp4"
"reference-only","7,09","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_hader\416f3931-4bb1-4133-ac9d-937bb8db8f22 (1).mp4"
"reference-only","7,09","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_hader\416f3931-4bb1-4133-ac9d-937bb8db8f22.mp4"
"reference-only","7,14","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_hader\57ebbac6-9831-49ad-8643-96afebb37d87.mp4"
"reference-only","5,48","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_trio_videos\7f34ed1f-fdd0-4d0f-a337-dd6c06055a0a.mp4"
"reference-only","10,8","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_trio_videos\930281da-e19e-4d5a-b941-4a588cd52e33.mp4"
"reference-only","5,78","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\03ece4ff-9a16-480b-977f-7c634a8112ac.mp4"
"reference-only","4","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\117aa437-2e75-4898-a608-0e44a47df595.mp4"
"reference-only","6,2","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\19d5092d-4e16-4b70-b5ff-96a2fbc88ba9.mp4"
"reference-only","10,79","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\2696f771-a46e-49d7-9596-56081ad24eef.mp4"
"reference-only","4,89","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\27c2d7e6-ca28-4c38-a9db-9df870a09955.mp4"
"reference-only","7,24","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\29e13465-6be5-468f-88b8-7fbd3ff5a4a3.mp4"
"reference-only","3,2","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\2ac7317f-2a4a-4e09-88c0-a9c53925f016.mp4"
"reference-only","1,77","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\2d1469f6-f581-453a-9d73-f6233376062f.mp4"
"reference-only","4,23","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\2d59c8bb-f4cd-4985-b9d7-63afd58d1ddd.mp4"
"reference-only","4,36","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\3a235c00-862c-4e55-8aa7-90a1ec45ec50.mp4"
"reference-only","4,97","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\3b3168c0-cabf-44cf-83b8-dc7ab9b75a35.mp4"
"reference-only","2,15","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\3e704fe4-e714-49cc-b5f6-792651c6a2a3.mp4"
"reference-only","3,9","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\40ff1df1-0bc1-4580-b7e3-9d2e3f9d3616.mp4"
"reference-only","9,49","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\4ae8c117-1e4f-4ec5-a058-3c30ce01078b.mp4"
"reference-only","2,1","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\517d3022-8c61-4de5-83ff-dedbeacbade2.mp4"
"reference-only","7,32","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\53d8f4a9-de72-40f1-8e0e-fba09153ea67.mp4"
"reference-only","5,9","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\53ea6f9b-18d9-43eb-99f8-ea8faf8732a5.mp4"
"reference-only","7,31","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\64c9cefa-c5ce-4bb6-bdec-06324ba1ce7f.mp4"
"reference-only","3,86","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\6630f851-f36e-4ea2-86e6-af491f78f83c.mp4"
"reference-only","16,99","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\66581fad-4542-4071-a5df-147ce0ee5a50.mp4"
"reference-only","1,48","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\6be4df90-37c9-4fc3-97fa-56dd37423e9b.mp4"
"reference-only","5,58","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\75ad1f07-2218-4816-8553-ba64a26817fb.mp4"
"reference-only","4,2","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\7828c306-68eb-4f5c-9df4-45b6ae2d4e40.mp4"
"reference-only","8,07","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\7ac5823c-c1fe-4ba8-bb05-61c7ee410f8f (1).mp4"
"reference-only","8,07","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\7ac5823c-c1fe-4ba8-bb05-61c7ee410f8f.mp4"
"reference-only","4,21","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\7dec3403-dda6-459e-aa0f-1c44023dff33.mp4"
"reference-only","4,29","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\86d5aa30-6cda-49a9-9bab-51a80cc11c51.mp4"
"reference-only","2,23","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\9f05e1e8-56bd-430a-a9b8-50dd2c232dc4.mp4"
"reference-only","4,21","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\a4917a42-1f57-4d9c-b6e8-fc105fef1729.mp4"
"reference-only","7,68","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\b447e023-62d0-4323-9314-99324626a8fc.mp4"
"reference-only","7,31","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\b4e6753d-c32d-4142-8b49-254da28e4424.mp4"
"reference-only","4,25","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\d04dd94b-073a-4057-b321-2a8e95c1d27a.mp4"
"reference-only","0,73","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\d323e8e6-1cde-41a6-a51f-ead0d6013074 (1).mp4"
"reference-only","0,73","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\d323e8e6-1cde-41a6-a51f-ead0d6013074.mp4"
"reference-only","2,24","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\da17e9ef-f41d-4a14-82ef-139892c24555.mp4"
"reference-only","4,23","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\da732db7-ab6b-4a9b-a0ed-32ee4ae00291.mp4"
"reference-only","6,56","BZH_RESS\Montage\bzh_dancers\singer_wario\wario_viggle\da773ff4-02ac-4476-801d-149b0e57441c.mp4"
