source_path,destination_path,duplicate_of,sha256,status,note
"imports/ChatGPT Image 19 févr. 2026, 01_01_19.png","archives/import-duplicates/2026-07-15-imports-root/hermine-logo-reference-v003-exact-copy.png","media/visual/references/hermine-logos/hermine-logo-reference-v003.png","F2C12F76F66E1DADEBA0AB3D67DA80F2C76B3F560C8495E7022F39040F1BA9D5","exact_duplicate","Retire de la galerie car deja classe."
"imports/lemegeton_chronicles_fm_sprite_pack/assets/lemegeton_inspi/MINI_STAR_BOT/leme and vallee chronicles 2.png","archives/import-duplicates/2026-07-15-lemegeton-sprite-pack/inspiration/leme-reference-v001-import-copy.png","media/visual/references/leme/leme-reference-v001.png","E9B1D0A9C760D6495A80339E96040AE94A5C13BB66B6B54BB31630B521B67EEB","exact_duplicate","Reference LEME deja suivie."
"imports/lemegeton_chronicles_fm_sprite_pack/assets/lemegeton_inspi/MINI_STAR_BOT/leme and vallee chronicles.png","archives/import-duplicates/2026-07-15-lemegeton-sprite-pack/inspiration/leme-reference-v002-import-copy.png","media/visual/references/leme/leme-reference-v002.png","5A9FE331F2CEF08913F81E0E1A84DC29B649DF0F1E805AA807DEA51558F8E56E","exact_duplicate","Reference LEME deja suivie."
"imports/lemegeton_chronicles_fm_sprite_pack/assets/lemegeton_inspi/MINI_STAR_BOT/vallee chronicles.png","archives/import-duplicates/2026-07-15-lemegeton-sprite-pack/inspiration/leme-reference-v003-import-copy.png","media/visual/references/leme/leme-reference-v003.png","7FF390B9E76508571901BA2F4D776770E1F7B1B70DFA5340D6CBE433C9A56C46","exact_duplicate","Reference LEME deja suivie."
"imports/lemegeton_chronicles_fm_sprite_pack/assets/lemegeton_inspi/MINI_STAR_BOT/MINI_STAR_BOT.png","archives/import-duplicates/2026-07-15-lemegeton-sprite-pack/inspiration/leme-reference-v004-import-copy.png","media/visual/references/leme/leme-reference-v004.png","3AF4F4ABC8D78506F2B15A7ED0CA01578C83B4F7A7A32EB681F8379BA2BCF144","exact_duplicate","Reference LEME deja suivie."
"imports/ChatGPT Image 19 nov. 2025, 17_10_28.jpg","archives/import-duplicates/2026-07-15-imports-root/sorn-red-sigil-reference-format-copy.jpg","media/visual/references/sorn/sorn-red-sigil-reference.png","E3C5E8500FF3E696C31D58718EED54625466C79453D205909C93F71CE3AF7EA5","format_variant","Variante JPG du rendu PNG promu."
