"source_path","sha256","matched_path","size_bytes"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2024-09-13 17.54.07 - 'BZH POWER' floating in the center of a vast, swirling galaxy. The letters glow with vibrant cosmic energy, surrounded by spirals of stars, distant pl.webp","324EB19AA979CE9178F104D2B8B738EB5C5EE5AB37F71BBB159DAB2A0E576544","assets\logos\bzh-chronicles\title\bzhchronicles_title_v110.webp","707470"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2025-01-22 21.58.17 - A stickman-style illustration representing Aligax, a warrior in a cyberpunk fantasy world, standing tall with a glowing artifact bound to their chest,.webp","DE6327CA68ED05E39F9CB03E3E7103E09C77D6151222C5B03A05012F9CFB89FE","assets\characters\aligax\aligax_stickman_artifact_v01.webp","249528"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\immmaaageg\DALL·E 2025-01-22 21.58.30 - An ink drawing on aged parchment depicting Sniky, a stickman-style stealth assassin, crouched with dual blades, surrounded by shadows. The art feature.webp","5D8292E6F3FA43AD6A603F3AB52582718F7E34B32FAC8A611B33917AA268939E","assets\characters\sniky\sniky_ink_parchment_v01.webp","522080"
