"source_path","destination_path","action","sha256","size_bytes"
"imports\2026-07-06-desktop-bzh\BZH_RESS\515924957_18015119585727555_4935949371846352071_n.jpg","media\visual\references\steam-escape-game\bzhress_steam_escape_photo_v001.jpg","promoted","9A97F9C008923313BB282452EBE7CE28DF99D2EEF82CBFA9EF99759C0194E657","275371"
"imports\2026-07-06-desktop-bzh\BZH_RESS\517229190_1376741637125791_8946320166757225038_n.jpg","media\visual\references\steam-escape-game\bzhress_steam_escape_photo_v002.jpg","promoted","5A3830D963A6AE12813F952824DAE2010B7659C5698E39AA118A9DE51450D601","583001"
"imports\2026-07-06-desktop-bzh\BZH_RESS\BZH PW CONV.txt","archives\documents\bzhpw-lore\bzh-pw-conv.txt","document","E7C7EAB4CBBED8E0E05223C2132C83ABDBA124ADDA596E8C929739172678360B","515039"
"imports\2026-07-06-desktop-bzh\BZH_RESS\BZH_Power_Song_Presentation_with_Description.docx","archives\documents\bzhpw-lore\bzh-power-song-presentation-with-description.docx","document","113A57DE8BC087C22F30351F15C7F7C3CF7474244B8B67532E181BCD67ABF1EE","38582"
"imports\2026-07-06-desktop-bzh\BZH_RESS\CONTOUR.png","assets\site\frames\bzhress_contour_frame_v001.png","promoted","82ED47CECDDDB565AFBF14A4E76C3FD8E1CE49B93457AEEE1B8A97EF9D62D2C1","615621"
"imports\2026-07-06-desktop-bzh\BZH_RESS\eed1cac7-fe69-4181-b8a1-025c4f74f34b.png","media\visual\covers\bzh-ress-posters\bzhress_hall-of-playtime_v001.png","promoted","979C6A7D1B6AD074863E1B3E4256312CFC39290CB4D54DC75A37EAFE967F5A47","3050813"
"imports\2026-07-06-desktop-bzh\BZH_RESS\Generated_Images_Information.csv","archives\import-metadata\2026-07-06\imports\2026-07-06-desktop-bzh\BZH_RESS\Generated_Images_Information.csv","metadata","BB32DDF9A5A459BBD750A3824A60C573F7AC96EB69E9629163001106D00FC043","1518"
"imports\2026-07-06-desktop-bzh\BZH_RESS\qsdfghjkle17254 (9).png","media\visual\references\bzh-ress\bzhress_wolf-character_reference_v001.png","promoted","2EF73229E510B388EE6C2203B5328701B6DC4259E44155D02ED8B4648EB5401C","592954"
