"Joueur","Parties totales","Win Rate","Faille de l'invocateur (SR)","ARAM","Temps de jeu total"
"MutenRock","1012","48,8%","570","332","16 j 07 h"
"Aligax","906","48,7%","193","655","12 j 00 h"
"Blindess56","712","51,8%","120","448","7 j 18 h"
"SoRn","478","51,2%","376","79","7 j 22 h"
"DrSpig","58","48,1%","49","5","23 h 14 min"
"gabilone","56","42,3%","24","28","17 h 13 min"
"MutenRonce","23","40,0%","15","0","6 h 14 min"
